210	9670	203
220	9670	213
480	9670	464
670	9650	646
870	9640	838
1070	9640	1031
1280	9640	1233
1480	9630	1425
1670	9630	1608
1860	9630	1791
2060	9630	1983
2260	9620	2174
2470	9620	2376
2670	9610	2565
2860	9610	2748
3070	9600	2947
3270	9600	3139
3470	9590	3327
3660	9590	3509
3870	9580	3707
4060	9580	3889
4260	9580	4081
4470	9570	4277
4670	9570	4469
4870	9560	4655
5070	9560	4846
5260	9550	5023
5470	9550	5223
5660	9540	5399
5860	9540	5590
6060	9540	5781
6270	9530	5975
6460	9520	6149
6670	9520	6349
6860	9510	6523
7070	9510	6723
7270	9500	6906
7460	9500	7087
7660	9490	7269
7860	9490	7459
8060	9480	7640
8270	9480	7839
8470	9470	8021
8660	9470	8201
8870	9470	8399
9070	9460	8580
9260	9460	8759
9460	9450	8939
9660	9450	9128
9860	9440	9307
10060	9440	9496
10260	9430	9675
10460	9430	9863
10660	9420	10041
10870	9420	10239
11060	9410	10407
11260	9400	10584
11450	9400	10763
11660	9390	10948
11860	9390	11136
12050	9380	11302
12260	9370	11487
12460	9370	11675
12660	9360	11849
12860	9360	12036
13060	9350	12211
13260	9340	12384
13460	9330	12558
13660	9320	12731
13860	9310	12903
14070	9300	13085
14270	9280	13242
14460	9250	13375
14660	9210	13501
14870	9150	13606
15060	9090	13689
15260	9000	13734
15460	8910	13774
15660	8790	13765
15860	8650	13718
16060	8490	13634
16260	8300	13495
16470	8130	13390
16660	7810	13011
16860	7500	12645
17050	7140	12173
17260	6730	11615
17460	6250	10912
17660	5690	10048
17860	5100	9108
18060	4400	7946
18270	3650	6668
18460	2740	5058
18660	2330	4347
18860	1250	2357
18990	290	550
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18990	0	0
18980	0	0
18980	0	0
18980	0	0
18980	0	0
18990	0	0
18980	0	0
18980	0	0
18980	0	0
18990	0	0
18980	0	0
18980	0	0
