470	1140	54
960	1140	109
1470	1140	168
1960	1140	223
2460	1130	277
2960	1130	334
3460	1130	390
3960	1130	447
4460	1130	503
4950	1130	559
5460	1130	616
5960	1130	673
6450	1120	722
6950	1120	778
7450	1120	834
7960	1120	891
8460	1120	947
8950	1120	1002
9460	1120	1059
9950	1110	1104
10450	1110	1159
10950	1110	1215
11450	1100	1259
11960	1100	1315
12450	1090	1357
12950	1080	1398
13450	1070	1439
13960	1050	1465
14450	1020	1473
14950	990	1480
15440	940	1451
15960	850	1356
16470	730	1202
17790	0	0
17790	0	0
17790	0	0
17790	0	0
17790	0	0
17790	0	0
17780	0	0
17790	0	0
17780	0	0
17790	0	0
17790	0	0
17790	0	0
17780	0	0
17790	0	0
