510	21240	1083
970	21240	2060
1480	21240	3144
1980	21150	4187
2470	21130	5219
2970	21090	6263
3470	21070	7311
3980	21030	8369
4470	21000	9387
4970	20980	10427
5470	20960	11465
5980	20960	12534
6470	20950	13554
6970	20930	14588
7460	20920	15606
7970	20910	16665
8480	20900	17723
8970	20880	18729
9470	20870	19763
9970	20850	20787
10470	20840	21819
10960	20820	22818
11460	20810	23848
11970	20790	24885
12470	20760	25887
12970	20740	26899
13470	20710	27896
13960	20670	28855
14470	20500	29663
14970	20170	30194
15460	19680	30425
15970	18940	30247
16470	17920	29514
16970	16550	28085
17470	14760	25785
17970	12570	22588
18470	9880	18248
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
19960	0	0
