130	5570	72
270	5570	150
480	5570	267
670	5570	373
870	5560	483
1080	5560	600
1270	5560	706
1470	5560	817
1670	5550	926
1860	5550	1032
2060	5550	1143
2260	5550	1254
2460	5540	1362
2670	5540	1479
2860	5540	1584
3060	5540	1695
3270	5530	1808
3470	5530	1918
3660	5530	2023
3870	5520	2136
4060	5520	2241
4260	5520	2351
4470	5520	2467
4660	5510	2567
4870	5510	2683
5070	5500	2788
5260	5500	2893
5470	5490	3003
5660	5490	3107
5860	5480	3211
6070	5470	3320
6260	5470	3424
6460	5460	3527
6660	5450	3629
6860	5420	3718
7070	5390	3810
7270	5350	3889
7460	5320	3968
7660	5320	4075
7860	5320	4181
8060	5320	4287
8260	5320	4394
8470	5320	4506
8660	5310	4598
8860	5320	4713
9060	5310	4810
9260	5320	4926
9460	5310	5023
9660	5300	5119
9850	5300	5220
10060	5300	5331
10260	5300	5437
10460	5300	5543
10660	5290	5639
10870	5290	5750
11060	5290	5850
11260	5280	5945
11460	5280	6050
11660	5280	6156
11860	5270	6250
12050	5270	6350
12260	5260	6448
12460	5260	6553
12660	5250	6646
12860	5250	6751
13060	5240	6843
13260	5240	6948
13460	5240	7053
13660	5230	7144
13860	5230	7248
14060	5220	7339
14260	5220	7443
14460	5210	7533
14660	5200	7623
14860	5190	7712
15060	5180	7801
15260	5150	7858
15450	5120	7910
15660	5080	7955
15860	5030	7977
16060	4980	7997
16260	4900	7967
16470	4780	7872
16650	4670	7775
16860	4540	7654
17060	4370	7455
17250	4180	7210
17460	3950	6896
17660	3680	6498
17860	3380	6036
18060	3000	5418
18270	2570	4695
18460	2080	3839
18660	1500	2799
18860	830	1565
19050	130	247
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
19090	0	0
