1150	49580	5702
1170	49580	5801
1170	49580	5801
1170	49530	5795
1170	49510	5792
1170	49540	5796
1170	49530	5795
1170	49510	5792
1170	49520	5793
1170	49510	5792
2060	49450	10186
2260	49410	11166
2460	49410	12154
2670	49410	13192
2860	49390	14125
3060	49370	15107
3270	49350	16137
3470	49350	17124
3660	49330	18054
3860	49320	19037
4060	49300	20015
4260	49290	20997
4470	49260	22019
4660	49240	22945
4870	49210	23965
5070	49200	24944
5260	49180	25868
5470	49160	26890
5660	49140	27813
5860	49120	28784
6060	49110	29760
6270	49090	30779
6450	49080	31656
6660	49060	32673
6860	49060	33655
7060	49040	34622
7260	49040	35603
7460	49020	36568
7660	48980	37518
7860	48950	38474
8060	48910	39421
8250	48880	40326
8460	48850	41327
8660	48830	42286
8870	48760	43250
9070	48700	44170
9260	48640	45040
9460	48590	45966
9660	48520	46870
9850	48440	47713
10060	48380	48670
10260	48280	49535
10450	48160	50327
10660	48040	51210
10870	47890	52056
11060	47760	52822
11260	47510	53496
11450	47280	54135
11650	47140	54918
11860	46750	55445
12050	46470	55996
12260	46080	56494
12460	46060	57390
12660	45220	57248
12860	44710	57497
13060	44130	57633
13260	43590	57800
13460	42840	57662
13660	42080	57481
13850	41630	57657
14060	40390	56788
14260	39380	56155
14450	38370	55444
14670	37200	54572
14870	36130	53725
15060	34800	52408
15250	33370	50889
15450	31960	49378
15650	31270	48937
15860	28930	45882
16050	27170	43607
16260	25310	41154
16460	23380	38483
16650	22200	36963
16850	19780	33329
17050	17580	29973
17250	15440	26634
17450	13320	23243
17660	10930	19302
17850	8650	15440
18050	6130	11064
18260	3650	6664
18450	1290	2380
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18530	0	0
18520	0	0
